HGBr,Low,30.66,+1.2SDs
HGBr,Low,30.09,-0.5SDs
HGBr,Low,29.86,-1.1SDs
HGBr,Low,30.47,+0.7SDs
HGBr,Low,30.73,+1.4SDs
HGBr,Low,29.88,-1.1SDs
HGBr,Low,30.17,-0.2SDs
HGBr,Low,30.62,+1.1SDs
HGBr,Low,31.58,+3.9SDs
HGBr,Low,30.27,+0.1SDs
HGBr,Low,30.41,+0.5SDs
HGBr,Low,30.39,+0.4SDs
HGBr,Low,30.58,+1.0SDs
HGBr,Low,30.14,-0.3SDs
HGBr,Low,30.59,+1.0SDs
HGBr,Low,30.39,+0.4SDs
HGBr,Low,29.86,-1.2SDs
HGBr,Low,29.83,-1.2SDs
HGBr,Low,30.52,+0.8SDs
HGBr,Low,30.44,+0.6SDs
HGBr,Low,30.51,+0.8SDs
HGBr,Low,30.85,+1.8SDs
HGBr,Low,30.65,+1.2SDs
HGBr,Low,29.98,-0.8SDs
HGBr,Low,30.17,-0.2SDs
HGBr,Low,30.55,+0.9SDs
HGBr,Low,30.54,+0.9SDs
HGBr,Low,30.2,-0.1SDs
HGBr,Low,30.14,-0.3SDs
